Point,N (UTM),E (UTM),Ell.height,H,NN1954,Method
HAVSTEIN,7031656.237,568780.646,171.046,131.414,Trig
HMV1,7032450.406,569796.193,110.338,70.766,Trig
HMV1EX,7032454.240,569784.222,110.871,71.306,Trig
MOHOLT,7031952.892,571469.041,170.838,131.318,Trig
ST46,7034487.402,571578.304,151.858,112.424,Niv
STUBBAN,7030500.761,570574.097,122.725,83.119,Trig
TORSHAUG,7032141.126,566821.215,283.070,243.405,Trig
TP342,7033941.628,568890.318,44.618,5.073,Trig
UTSIKTEN,7033251.070,568449.389,149.094,109.509,Trig
NTH-S2,7032874.708,570073.423,129.842,90.297,Trig
9504,7033210.648,570149.359,82.840,43.305,Niv
9507,7032505.663,570480.827,86.240,46.687,Niv
OPPL,7029005.339,558064.206,142.935,102.880,Niv
BASV,7023177.607,560908.590,43.940,3.820,Niv
FLAK,7035989.149,559459.379,67.708,27.930,Niv
SJET,7025043.846,568858.934,203.780,163.910,Niv
RANH,7034498.404,575639.545,59.958,20.640,Niv
LADE,7036210.065,571151.403,108.827,69.490,Niv
HOVR,7036049.635,566740.556,83.958,44.410,Niv
GSAX,7035057.295,579323.493,111.998,72.850,Niv
LERK,7032598.606,570218.125,87.616,48.061,Niv
